cik,ticker,name,country,currency,CY,PY,CY_afs_unrealized_loss,CY_afs_unrealized_gain,CY_afs_fair_value,CY_afs_historical_value,CY_deposits,CY_htm_fair_value,CY_htm_unrealized_gain,CY_htm_unrealized_loss,CY_htm_historical_value,CY_notes_historical_value,CY_total_assets,CY_total_liabilities,CY_net_income,CY_oci,PY_afs_unrealized_loss,PY_afs_unrealized_gain,PY_afs_fair_value,PY_afs_historical_value,PY_deposits,PY_htm_fair_value,PY_htm_unrealized_gain,PY_htm_unrealized_loss,PY_htm_historical_value,PY_notes_historical_value,PY_total_assets,PY_total_liabilities,PY_net_income,PY_oci,CY_afs_unrealized_loss_stmt_item_name,CY_afs_unrealized_gain_stmt_item_name,CY_afs_fair_value_stmt_item_name,CY_afs_historical_value_stmt_item_name,CY_deposits_stmt_item_name,CY_htm_fair_value_stmt_item_name,CY_htm_unrealized_gain_stmt_item_name,CY_htm_unrealized_loss_stmt_item_name,CY_htm_historical_value_stmt_item_name,CY_notes_historical_value_stmt_item_name,CY_total_assets_stmt_item_name,CY_total_liabilities_stmt_item_name,CY_net_income_stmt_item_name,CY_oci_stmt_item_name,PY_afs_unrealized_loss_stmt_item_name,PY_afs_unrealized_gain_stmt_item_name,PY_afs_fair_value_stmt_item_name,PY_afs_historical_value_stmt_item_name,PY_deposits_stmt_item_name,PY_htm_fair_value_stmt_item_name,PY_htm_unrealized_gain_stmt_item_name,PY_htm_unrealized_loss_stmt_item_name,PY_htm_historical_value_stmt_item_name,PY_notes_historical_value_stmt_item_name,PY_total_assets_stmt_item_name,PY_total_liabilities_stmt_item_name,PY_net_income_stmt_item_name,PY_oci_stmt_item_name
0000811589,FBNC,First Bancorp,United States,USD,2022-12-31,2021-12-31,444067000,4000,,,9227529000,432528000,7000,109179000,,,10625049000,9593453000,146936000,-170069000,42662000,10595000,,,9124629000,511699000,3540000,5666000,,,10508901000,9278326000,95644000,56324000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000765207,FNLC,First Bancorp Inc,United States,USD,2022-12-31,2022-09-30,56661000,57000,,,2378877000,339011000,200000,55085000,,1914674000,2739178000,2510255000,9197000,12355000,60335000,4000,,,2369949000,313796000,86000,68196000,,,2735065000,2515148000,10091000,-4415000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000947559,FBMS,First Bancshares Inc.,United States,USD,2022-12-31,2021-12-31,161908000,672000,,,5494404000,642097000,4532000,53919000,,,6461717000,5815054000,62919000,-94016000,11096000,21775000,1751832000,1741153000,5226784000,0,,,1751832000,2928811000,6077414000,5401242000,64167000,46329000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000947559,FRBA,First Bank,United States,USD,2022-12-31,2021-12-31,161908000,672000,,,5494404000,642097000,4532000,53919000,,,6461717000,5815054000,62919000,-94016000,11096000,21775000,1751832000,1741153000,5226784000,0,,,1751832000,2928811000,6077414000,5401242000,64167000,46329000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000314489,BUSE,First Busey Corporation,United States,USD,2022-12-31,2021-12-31,311204000,144000,,,10071280000,785295000,0,133017000,,,12336677000,11190700000,128311000,-121209000,54654000,22382000,3981251000,4013523000,10768577000,,,,,,12859689000,11540577000,123449000,66382000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001521951,FBIZ,First Business Financial Services Inc.,United States,USD,2022-12-31,2021-12-31,27887000,160000,212024000,239751000,2168206000,12270000,7000,372000,12635000,2443215000,2976611000,2715971000,10156000,27005000,2069000,2072000,205702000,205699000,1957923000,20276000,533000,3000,19746000,2240931000,2652905000,2420483000,8591000,35231000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000798941,FCNCA,First Citizens BancShares Inc.,United States,USD,2022-12-31,2021-12-31,973000000,1000000,,,89408000000,8795000000,0,1484000000,,,109298000000,99636000000,1098000000,353000000,57000000,45000000,9203427000,9215000000,51406000000,3759000000,6000000,56000000,3809453000,32371522000,58309000000,53571000000,547000000,545000000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000859070,FCBC,First Community Bankshares Inc.,United States,USD,2022-12-31,2021-12-31,19798000,24000,300349000,320123000,2678815000,,,,,,3135572000,2713587000,12583000,32489000,692000,711000,76292000,76273000,2729391000,,,,,2165569000,3194519000,2766744000,10555000,51545000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000708955,FFBC,First Financial Bancorp.,United States,USD,2022-12-31,2021-12-31,418604000,834000,3409648000,3827418000,12701177000,76485000,105000,7641000,84021000,8545307000,17003316000,14961943000,217612000,-140618000,31129000,58386000,4207846000,4180589000,12871954000,99898000,1963000,485000,98420000,7830455000,16329141000,14070199000,205160000,156063000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000036029,FFIN,First Financial Bankshares Inc.,United States,USD,2022-12-31,2021-12-31,679226000,1237000,5474359000,6152348000,11005507000,,,,,6442000000,12974066000,11708329000,234475000,-400006000,23711000,149380000,6573179000,6447510000,10566488000,,,,,5389000000,13102461000,11343237000,227562000,118598000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000714562,THFF,First Financial Corporation Indiana,United States,USD,2022-12-31,2021-12-31,172134000,3989000,1330481000,1498626000,4368871000,,,,,,4989281000,4513988000,71109000,-66439000,10182000,30126000,1359514000,1339570000,4409569000,,,,,1853035000,5175099000,4592523000,52987000,40797000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001401564,FFNW,First Financial Northwest Inc.,United States,USD,2022-12-31,2021-12-31,18190000,41000,,,1170040000,,,,2444000,1167083000,1502916000,1342556000,13240000,5852000,1459000,1656000,168948000,,1157474000,,,,2432000,1103461000,1426329000,1268450000,12249000,14341000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,,Deposits,,,,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001413837,FFWM,First Foundation Inc.,United States,USD,2022-12-31,2021-12-31,15600000,112000,,,10362612000,773061000,,89483000,,10709180000,13014179000,11879801000,17354000,96294000,6258000,9473000,1191378000,1198562000,8811960000,,,,0,6906728000,10196204000,9132153000,23876000,97699000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001408534,FGBI,First Guaranty Bancshares Inc.,United States,USD,2022-12-31,2021-12-31,3418000,31000,131458000,134845000,2723792000,242560000,0,77508000,320068000,2519077000,3151347000,2916356000,28884000,20289000,2474000,898000,210620000,212196000,2596492000,150585000,0,2951000,153536000,2159359000,2878120000,2654231000,27297000,20017000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000036377,FHB,First Hawaiian Inc.,United States,USD,2022-12-31,2021-12-31,398516000,50000,,,21689029000,3814822000,,505817000,,,24577223000,22308218000,265685000,-251876000,157296000,24595000,8428032000,8560733000,21816146000,0,,,,12804737000,24992410000,22335498000,265735000,112438000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,,,,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001562463,INBK,First Internet Bancorp,United States,USD,2022-12-31,2021-12-31,46292000,493000,390384000,436183000,3441245000,168483000,0,20685000,189168000,3452607000,4543104000,4178130000,35541000,12944000,7691000,4228000,603044000,606507000,3178959000,61468000,1903000,0,59565000,2833776000,4210994000,3830656000,48114000,54271000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000860413,FIBK,First Interstate BancSystem Inc.,United States,USD,2022-12-31,2021-12-31,629700000,2300000,6946100000,7573500000,25073600000,3052200000,400000,400000000,3453700000,17879100000,32287800000,29214000000,202200000,-263900000,59400000,20600000,4820500000,4859300000,16269600000,1667500000,15600000,35700000,1687600000,9331700000,19671900000,17685300000,192100000,124500000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableNetReportedAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,LoansAndLeasesReceivableGrossCarryingAmount,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000712534,FRME,First Merchants Corporation,United States,USD,2022-12-31,2021-12-31,297125000,439000,,,14382745000,1907865000,647000,380154000,,,17938306000,15903536000,222089000,-72175000,13640000,89536000,2344551000,2268655000,12732577000,2202503000,37776000,15320000,2179802000,,15453149000,13540578000,205531000,185808000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000700565,FMBH,First Mid Bancshares Inc.,United States,USD,2022-12-31,2021-12-31,213530000,143000,1218985000,1432372000,5257001000,2954000,0,0,2954000,4825874000,6744215000,6111060000,72952000,-77724000,18335000,17166000,1421422000,1422591000,4956486000,7035000,5000,0,7030000,3992775000,5986582000,5352688000,16834000,33564000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0000740663,FLIC,First of Long Island Corporation (The),United States,USD,2022-12-31,2021-12-31,81148000,136000,673413000,754425000,3464634000,,,,,3311733000,4281511000,3916975000,46932000,-15522000,8898000,11721000,734318000,731495000,3315245000,,,,,3105036000,4068789000,3654977000,43089000,37206000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,,,,,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
0001435508,FSFG,First Savings Financial Group Inc.,United States,USD,2022-09-30,2021-09-30,34468000,191000,316517000,350794000,1515834000,1593000,35000,,1558000,1489277000,2093725000,1942160000,15386000,-20593000,453000,11717000,206681000,195417000,1227580000,2054000,217000,0,1837000,1086225000,1721394000,1541017000,29567000,27258000,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Deposits,HeldToMaturitySecuritiesFairValue,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecurities,NotesReceivableGross,Assets,Liabilities,NetIncomeLoss,ComprehensiveIncomeNetOfTax
